user_id,wechat_id,cohort
13330179,BIBOBBY18dream,1
14276185,wby0209,1
15312225,n1015857581,1
14276185,wby0209,1
16067600,imwangdanqing,1
17737049,wxy19951129cjy,1
18845429,Yee_970611,1
19949432,wxid_3y8b2ve5a8pt21,1
20975559,jta18867921184,2
21853588,Ggg_000000001,2
22535066,xujia837,2
23300203,Crier-L,2
24580797,Zziyi_1996,2
25097422,huangxuebinghh,2
26019115,LotusP731,2
2884055,Rocky19981203,2
332560850,xaflyfly,3
33333337530699,youge1028,3
3333336258385,Gerrygorelxy,3
333335578856,angeladou1328741646,3
33334546109,sun108861931,3
3333839517,DoubleInfinity1998,3
35000658,qiaosan_weixin,3
35002178,fan414692262,3
35007460,dcy961201,3
35038714,wsj5523220,3
35043063,BillMactavish,3
35068754,weiyutu,3
35106293,WHEARTS,3
35120544,wxid_20bvofufsh6z22,3
35134099,wzrzyx,3
35137663,wxid_wkmkdy6jxqo22,3
35200942,qiaomu12306,3
35201763,wxid_jhg4xpel5gri21,3
35253418,bzg956999644,3
35266497,LIlu900201,3
35271522,wxid_eby9vbrixm7i22,3
35301556,wh997912782,3
35319372,LZR29866760,3
35339734,maoruofan1219,3
35352857,H1075646651,3
35379473,wxid_d8x5pl6sbqta22,3
35395101,wolfieemo,3
35448529,jizhiruwo123456,3
35477518,zjm132325,3
35543981,zyh55416,3
35603078,wx13992366388,3
35608716,Azure_Era,3
35649780,XADoris,3
35658881,zidungxiang,3
35675998,z18992318877,3
35693276,Xingfuma0707,3
35697115,wxid_lbm8xlhe1mr821,3
35714800,wxid_0wpd276jr9f622,3
35724687,zhang805405725,3
35776895,jpf691008,3
35788367,xiongaidashu,3
35861005,wxid_7616946168811,3
35890973,weijiajie898676919,3
35947152,ttytll,3
35953541,QJX13363915119,3
3780005,rrrmt1,3
4125240,lqy18810609835,1
5338852,littlebadfox,1
6467910,scn960221,1
7771792,cherry_akashi,1
8194629,jiahui--1314,1
9331127,yznRCS,1
