user_id,wechat_id,cohort,treatment
1,b83120371,4,T1
1,b83120371,4,T1
1,b83120371,4,T1
1,b83120371,4,T1
1,b83120371,4,T1
1,b83120371,4,T1
1,b83120371,4,T1
1,b83120371,4,T1
1,b83120371,4,T1
1,BIBOBBY18dream,1,t
2,Yee_970611,1,t
3,cherry_akashi,1,t
4,imwangdanqing,1,t
5,jiahui--1314,1,t
6,littlebadfox,1,t
7,lqy18810609835,1,t
8,n1015857581,1,t
9,scn960221,1,t
10,wby0209,1,t
11,wby0209,1,t
12,wxid_3y8b2ve5a8pt21,1,t
13,wxy19951129cjy,1,t
14,yznRCS,1,t
15,Crier-L,2,t
16,Ggg_000000001,2,t
17,LotusP731,2,t
18,Rocky19981203,2,t
19,Zziyi_1996,2,t
20,huangxuebinghh,2,t
21,jta18867921184,2,t
22,xujia837,2,t
23,Azure_Era,3,t
24,BillMactavish,3,t
25,DoubleInfinity1998,3,t
26,Gerrygorelxy,3,t
27,H1075646651,3,t
28,LIlu900201,3,t
29,LZR29866760,3,t
30,QJX13363915119,3,t
31,WHEARTS,3,t
32,XADoris,3,t
33,Xingfuma0707,3,t
34,angeladou1328741646,3,t
35,bzg956999644,3,t
36,dcy961201,3,t
37,fan414692262,3,t
38,jizhiruwo123456,3,t
39,jpf691008,3,t
40,maoruofan1219,3,t
41,qiaomu12306,3,t
42,qiaosan_weixin,3,t
43,rrrmt1,3,t
44,sun108861931,3,t
45,ttytll,3,t
46,weijiajie898676919,3,t
47,weiyutu,3,t
48,wh997912782,3,t
49,wolfieemo,3,t
50,wsj5523220,3,t
51,wx13992366388,3,t
52,wxid_0wpd276jr9f622,3,t
53,wxid_20bvofufsh6z22,3,t
54,wxid_7616946168811,3,t
55,wxid_d8x5pl6sbqta22,3,t
56,wxid_eby9vbrixm7i22,3,t
57,wxid_jhg4xpel5gri21,3,t
58,wxid_lbm8xlhe1mr821,3,t
59,wxid_wkmkdy6jxqo22,3,t
60,wzrzyx,3,t
61,xaflyfly,3,t
62,xiongaidashu,3,t
63,youge1028,3,t
64,z18992318877,3,t
65,zhang805405725,3,t
66,zidungxiang,3,t
67,zjm132325,3,t
68,zyh55416,3,t
41001770,survey-study,4,T4
41001770,survey-study,4,T4
41001770,survey-study,4,T4
41001770,survey-study,4,T4
41001770,survey-study,4,T4
41001770,survey-study,4,T4
41001770,survey-study,4,T4
41001770,survey-study,4,T4
41001770,survey-study,4,T4
41004844,19921891007,4,T2
41004844,19921891007,4,T2
41004844,19921891007,4,T2
41004844,19921891007,4,T2
41004844,19921891007,4,T2
41004844,19921891007,4,T2
41004844,19921891007,4,T2
41004844,19921891007,4,T2
41004844,19921891007,4,T2
41106470,wxid_fviwiei4j5x412,4,T3
41106470,wxid_fviwiei4j5x412,4,T3
41106470,wxid_fviwiei4j5x412,4,T3
41106470,wxid_fviwiei4j5x412,4,T3
41106470,wxid_fviwiei4j5x412,4,T3
41106470,wxid_fviwiei4j5x412,4,T3
41106470,wxid_fviwiei4j5x412,4,T3
41106470,wxid_fviwiei4j5x412,4,T3
41106470,wxid_fviwiei4j5x412,4,T3
41107709,aliceluck,4,T1
41107709,aliceluck,4,T1
41107709,aliceluck,4,T1
41107709,aliceluck,4,T1
